filename,node-id,location,run-idx,datetime-min,datetime-max,delta,rate,mode
node-123_run-21_delta-20.wav,123,bprf,21,2023-04-10 18:36:32.000,2023-04-10 18:36:34.200,20,9867,acoustic
node-131_run-21_delta-20.wav,131,bprf,21,2023-04-10 18:36:39.000,2023-04-10 18:36:42.000,20,9867,acoustic
node-123_run-22_delta-20.wav,123,bprf,22,2023-04-11 15:22:05.800,2023-04-11 15:22:11.000,20,9866,acoustic
node-129_run-22_delta-20.wav,129,bprf,22,2023-04-11 15:21:54.400,2023-04-11 15:22:01.800,20,9866,acoustic
node-131_run-22_delta-20.wav,131,bprf,22,2023-04-11 15:21:47.000,2023-04-11 15:21:53.800,20,9866,acoustic
node-123_run-23_delta-20.wav,123,bprf,23,2023-04-11 15:23:02.000,2023-04-11 15:23:04.400,20,9866,acoustic
node-129_run-23_delta-20.wav,129,bprf,23,2023-04-11 15:23:08.800,2023-04-11 15:23:15.200,20,9866,acoustic
node-131_run-23_delta-20.wav,131,bprf,23,2023-04-11 15:23:15.600,2023-04-11 15:23:23.200,20,9866,acoustic
node-123_run-24_delta-20.wav,123,bprf,24,2023-04-11 16:01:35.000,2023-04-11 16:01:40.000,20,9866,acoustic
node-129_run-24_delta-20.wav,129,bprf,24,2023-04-11 16:01:23.000,2023-04-11 16:01:30.000,20,9866,acoustic
node-131_run-24_delta-20.wav,131,bprf,24,2023-04-11 16:01:14.000,2023-04-11 16:01:22.000,20,9866,acoustic
node-123_run-25_delta-20.wav,123,bprf,25,2023-04-11 16:03:43.000,2023-04-11 16:03:46.000,20,9866,acoustic
node-129_run-25_delta-20.wav,129,bprf,25,2023-04-11 16:03:50.000,2023-04-11 16:03:55.000,20,9866,acoustic
node-131_run-25_delta-20.wav,131,bprf,25,2023-04-11 16:03:56.000,2023-04-11 16:04:01.000,20,9866,acoustic
node-123_run-26_delta-20.wav,123,bprf,26,2023-04-11 16:49:11.000,2023-04-11 16:49:15.000,20,9866,acoustic
node-129_run-26_delta-20.wav,129,bprf,26,2023-04-11 16:49:19.000,2023-04-11 16:49:23.000,20,9866,acoustic
node-131_run-26_delta-20.wav,131,bprf,26,2023-04-11 16:49:24.000,2023-04-11 16:49:29.000,20,9866,acoustic
node-123_run-27_delta-20.wav,123,bprf,27,2023-04-11 16:51:18.000,2023-04-11 16:51:21.000,20,9866,acoustic
node-129_run-27_delta-20.wav,129,bprf,27,2023-04-11 16:51:10.000,2023-04-11 16:51:14.000,20,9866,acoustic
node-131_run-27_delta-20.wav,131,bprf,27,2023-04-11 16:51:04.000,2023-04-11 16:51:09.000,20,9866,acoustic
