location,date,run,make,model,year,type,target-name,target-id,speed-kph,speed-throttle,direction,start-time-utc,mads-cpa-utc,stop-time-utc,gps-log-file,comments,nsin-release,east-start-turnaround-lat,east-start-turnaround-lon,west-start-turnaround-lat,west-start-turnaround-lon,north-start-turnaround-lat,north-start-turnaround-lon,south-start-turnaround-lat,south-start-turnaround-lon
bprf,4/10/2023,22,Ford,F-450,,,YYYY Ford F-450 (No Sides),2D,30,,W-E,15:37:32,,15:37:47,L12_2023-04-10.csv,,2 - Developers Data Set,38.411778,-77.100977,38.410313,-77.106413,,,,
bprf,4/10/2023,39,Ford,F-550,2006,,2006 Ford F-550,2G,30,,E-W,18:30:41,,18:30:58,L12_2023-04-10.csv,,2 - Developers Data Set,38.411778,-77.100977,38.410313,-77.106413,,,,
bprf,4/10/2023,40,Ford,F-550,2006,,2006 Ford F-550,2G,30,,W-E,18:33:04,,18:33:20,L12_2023-04-10.csv,,2 - Developers Data Set,38.411778,-77.100977,38.410313,-77.106413,,,,
bprf,4/10/2023,41,Ford,F-550,2006,,2006 Ford F-550,2G,45,,E-W,18:34:46,,18:34:56,L12_2023-04-10.csv,,2 - Developers Data Set,38.411778,-77.100977,38.410313,-77.106413,,,,
bprf,4/10/2023,42,Ford,F-550,2006,,2006 Ford F-550,2G,45,,W-E,18:36:32,,18:36:42,L12_2023-04-10.csv,,2 - Developers Data Set,38.411778,-77.100977,38.410313,-77.106413,,,,
bprf,4/11/2023,1,Ford,Excursion,2005,,2005 Ford Excursion,2H,15,,E-W,15:21:47,,15:22:11,L12_2023-04-11.csv,,2 - Developers Data Set,38.411778,-77.100977,38.410313,-77.106413,,,,
bprf,4/11/2023,2,Ford,Excursion,2005,,2005 Ford Excursion,2H,15,,W-E,15:23:02,,15:23:24,L12_2023-04-11.csv,,2 - Developers Data Set,38.411778,-77.100977,38.410313,-77.106413,,,,
bprf,4/11/2023,7,Kubota,Front End Loader,1991,,1991 Kubota  Front End Loader,2J,10,,E-W,16:01:13,,16:01:40,L12_2023-04-11.csv,,2 - Developers Data Set,38.411778,-77.100977,38.410313,-77.106413,,,,
bprf,4/11/2023,8,Kubota,Front End Loader,1991,,1991 Kubota  Front End Loader,2J,15,,W-E,16:03:43,,16:04:01,L12_2023-04-11.csv,,2 - Developers Data Set,38.411778,-77.100977,38.410313,-77.106413,,,,
bprf,4/11/2023,20,John Deere,Utility Vehicle,,,John Deere Utility Vehicle ,2M,,Medium,W-E,16:49:11,,16:49:29,L12_2023-04-11.csv,,2 - Developers Data Set,38.411778,-77.100977,38.410313,-77.106413,,,,
bprf,4/11/2023,21,John Deere,Utility Vehicle,,,John Deere Utility Vehicle ,2M,,Medium,E-W,16:51:04,,16:51:21,L12_2023-04-11.csv,,2 - Developers Data Set,38.411778,-77.100977,38.410313,-77.106413,,,,
bprf,4/12/2023,3,Ford,F-550,2006,,2006 Ford F-550,2G,15,,W-E,14:13:46,,14:14:10,L12_2023-04-12.csv,No Data on Node 123,2 - Developers Data Set,38.410315,-77.100041,38.408505,-77.108315,,,,
bprf,4/12/2023,4,Ford,F-550,2006,,2006 Ford F-550,2G,30,,E-W,14:17:37,,14:17:50,L12_2023-04-12.csv,No Data on Node 123,2 - Developers Data Set,38.410315,-77.100041,38.408505,-77.108315,,,,
bprf,4/12/2023,5,Ford,F-550,2006,,2006 Ford F-550,2G,30,,W-E,14:18:52,,14:19:06,L12_2023-04-12.csv,No Data on Node 123,2 - Developers Data Set,38.410315,-77.100041,38.408505,-77.108315,,,,
bprf,4/12/2023,8,Ford,F-450,,,"YYYY Ford F-450, With Sides",2C,15,,E-W,14:25:38,,14:25:55,L12_2023-04-12.csv,No Data on Node 123,2 - Developers Data Set,38.410315,-77.100041,38.408505,-77.108315,,,,
bprf,4/12/2023,9,Ford,F-450,,,"YYYY Ford F-450, With Sides",2C,15,,W-E,14:27:31,,14:27:52,L12_2023-04-12.csv,No Data on Node 123,2 - Developers Data Set,38.410315,-77.100041,38.408505,-77.108315,,,,
bprf,4/12/2023,16,Ford,F-450,,,"YYYY Ford F-450, No Sides",2D,30,,E-W,14:44:26,,14:44:38,L12_2023-04-12.csv,No Data on Node 123,2 - Developers Data Set,38.410315,-77.100041,38.408505,-77.108315,,,,
bprf,4/12/2023,17,Ford,F-450,,,"YYYY Ford F-450, No Sides",2D,30,,W-E,14:45:36,,14:45:49,L12_2023-04-12.csv,No Data on Node 123,2 - Developers Data Set,38.410315,-77.100041,38.408505,-77.108315,,,,
bprf,4/12/2023,22,Ford ,Econoline Van,,,YYYY Ford Econoline Van,2B,30,,E-W,14:56:47,,14:57:00,L12_2023-04-12.csv,No Data on Node 123,2 - Developers Data Set,38.410315,-77.100041,38.408505,-77.108315,,,,
bprf,4/12/2023,23,Ford ,Econoline Van,,,YYYY Ford Econoline Van,2B,30,,W-E,14:57:50,,14:58:03,L12_2023-04-12.csv,No Data on Node 123,2 - Developers Data Set,38.410315,-77.100041,38.408505,-77.108315,,,,
bprf,4/12/2023,28,Ford,Excursion,2005,,2005 Ford Excursion,2H,30,,E-W,16:07:26,,16:07:38,L12_2023-04-12.csv,No Data on Node 123,2 - Developers Data Set,38.410315,-77.100041,38.408505,-77.108315,,,,
bprf,4/12/2023,29,Ford,Excursion,2005,,2005 Ford Excursion,2H,30,,W-E,16:08:24,,16:08:36,L12_2023-04-12.csv,No Data on Node 123,2 - Developers Data Set,38.410315,-77.100041,38.408505,-77.108315,,,,
bprf,4/12/2023,30,Ford,Excursion,2005,,2005 Ford Excursion,2H,45,,E-W,16:09:42,,16:09:51,L12_2023-04-12.csv,No Data on Node 123,2 - Developers Data Set,38.410315,-77.100041,38.408505,-77.108315,,,,
bprf,4/12/2023,31,Ford,Excursion,2005,,2005 Ford Excursion,2H,45,,W-E,16:10:30,,16:10:39,L12_2023-04-12.csv,No Data on Node 123,2 - Developers Data Set,38.410315,-77.100041,38.408505,-77.108315,,,,
bprf,4/12/2023,32,Ford,F-150,,,YYYY Ford F-150,2A,15,,E-W,16:16:16,,16:16:32,L12_2023-04-12.csv,No Data on Node 123,2 - Developers Data Set,38.410315,-77.100041,38.408505,-77.108315,,,,
bprf,4/12/2023,33,Ford,F-150,,,YYYY Ford F-150,2A,15,,W-E,16:18:09,,16:18:30,L12_2023-04-12.csv,No Data on Node 123,2 - Developers Data Set,38.410315,-77.100041,38.408505,-77.108315,,,,
bprf,4/12/2023,52,John Deere,Utility Vehicle,,,YYYY John Deere Utility Vehicle ,2M,,Medium,E-W,17:25:31,,17:25:45,L12_2023-04-12.csv,No Data on Node 123,2 - Developers Data Set,38.410315,-77.100041,38.408505,-77.108315,,,,
bprf,4/12/2023,55,John Deere,Utility Vehicle,,,YYYY John Deere Utility Vehicle ,2M,,High,W-E,17:27:15,,17:27:25,L12_2023-04-12.csv,No Data on Node 123,2 - Developers Data Set,38.410315,-77.100041,38.408505,-77.108315,,,,
